product_link,name,image_url,price,discount,ratings,solds,deliver_durations,location,brand_name,category
https://shopee.vn/S%E1%BB%AFa-Ch%E1%BB%91ng-N%E1%BA%AFng-La-Roche-Posay-Cho-Da-D%E1%BA%A7u-M%E1%BB%A5n-Anthelios-UVMUNE400-Fluid-50ml-i.412741369.23477990687?sp_atk=76f1c016-203b-4461-b3df-2a6219445358&xptdk=76f1c016-203b-4461-b3df-2a6219445358,Sữa Chống Nắng La Roche-Posay Cho Da Dầu Mụn Anthelios UVMUNE400 Fluid 50ml,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,560000,None,5.0,52,3 - 4 ngày,Hà Nội,La Roche-Posay,Chăm sóc da mặt
https://shopee.vn/La-Roche-Posay-La-Roche-Posay-Effaclar-Serum-30ml-Tinh-Ch%E1%BA%A5t-Gi%E1%BA%A3m-M%E1%BB%A5n-3-T%C3%A1c-%C4%91%E1%BB%99ng-Effaclar-Serum-i.983390074.23477855694?sp_atk=9bd3cb62-c8ca-42f2-aa81-ebfdae6d5a80&xptdk=9bd3cb62-c8ca-42f2-aa81-ebfdae6d5a80,La Roche Posay/La Roche Posay Effaclar Serum 30ml/Tinh Chất Giảm Mụn 3 Tác động Effaclar Serum,None,258000,-21%,5.0,19,1 - 2 ngày,TP. Hồ Chí Minh,La Roche-Posay,Chăm sóc da mặt
https://shopee.vn/(T%E1%BA%B7ng-1-s%E1%BB%AFa-r%E1%BB%ADa-m%E1%BA%B7t-Hada-Labo)-S%E1%BB%AFa-Ch%E1%BB%91ng-N%E1%BA%AFng-D%C6%B0%E1%BB%A1ng-%E1%BA%A8m-Sunplay-Skin-Aqua-UV-Moisture-SPF50-PA-(30g)-i.122572609.6437900919?sp_atk=55e6d076-b90e-4581-b9dc-99104509189d&xptdk=55e6d076-b90e-4581-b9dc-99104509189d,(Tặng 1 sữa rửa mặt Hada Labo) Sữa Chống Nắng Dưỡng Ẩm Sunplay Skin Aqua UV Moisture SPF50+ PA++++ (30g),https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,95000,None,4.9,84,Hôm nay,TP. Hồ Chí Minh,The Ordinary,Chăm sóc da mặt
https://shopee.vn/-M%E1%BA%AAU-M%E1%BB%9AI-Kem-ch%E1%BB%91ng-n%E1%BA%AFng-d%C6%B0%E1%BB%A1ng-tr%E1%BA%AFng-da-Sunplay-Skin-Aqua-tu%C3%BDp-25g-i.205083574.6310054536?sp_atk=03136539-b83d-48b2-8741-721ed3b508b2&xptdk=03136539-b83d-48b2-8741-721ed3b508b2,[MẪU MỚI] Kem chống nắng dưỡng trắng da Sunplay Skin Aqua tuýp 25g,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,107000,None,5.0,411,1 - 2 ngày,TP. Hồ Chí Minh,The Ordinary,Chăm sóc da mặt
https://shopee.vn/(T%E1%BA%B7ng-1-s%E1%BB%AFa-r%E1%BB%ADa-m%E1%BA%B7t-Hada-Labo)-S%E1%BB%AFa-Ch%E1%BB%91ng-N%E1%BA%AFng-D%C6%B0%E1%BB%A1ng-%E1%BA%A8m-Sunplay-Skin-Aqua-UV-Moisture-SPF50-PA-(30g)-i.122572609.6437900919?sp_atk=55e6d076-b90e-4581-b9dc-99104509189d&xptdk=55e6d076-b90e-4581-b9dc-99104509189d,(Tặng 1 sữa rửa mặt Hada Labo) Sữa Chống Nắng Dưỡng Ẩm Sunplay Skin Aqua UV Moisture SPF50+ PA++++ (30g),https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,95000,None,4.9,84,Hôm nay,TP. Hồ Chí Minh,Sunplay,Chăm sóc da mặt
https://shopee.vn/Gel-Ch%E1%BB%91ng-N%E1%BA%AFng-D%C6%B0%E1%BB%A1ng-Da-Tr%E1%BA%AFng-M%E1%BB%8Bn-Sunplay-Skin-Aqua-Silky-White-Gel-70Gr-i.152872415.6300761424?sp_atk=17ab0e62-7ccf-42d0-aeac-9d9640d9d484&xptdk=17ab0e62-7ccf-42d0-aeac-9d9640d9d484,Gel Chống Nắng Dưỡng Da Trắng Mịn Sunplay Skin Aqua Silky White Gel 70Gr,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,160000,-20%,5.0,1000,1 - 2 ngày,TP. Hồ Chí Minh,The Ordinary,Chăm sóc da mặt
https://shopee.vn/-M%E1%BA%AAU-M%E1%BB%9AI-Kem-ch%E1%BB%91ng-n%E1%BA%AFng-d%C6%B0%E1%BB%A1ng-tr%E1%BA%AFng-da-Sunplay-Skin-Aqua-tu%C3%BDp-25g-i.205083574.6310054536?sp_atk=03136539-b83d-48b2-8741-721ed3b508b2&xptdk=03136539-b83d-48b2-8741-721ed3b508b2,[MẪU MỚI] Kem chống nắng dưỡng trắng da Sunplay Skin Aqua tuýp 25g,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,107000,None,5.0,411,1 - 2 ngày,TP. Hồ Chí Minh,Sunplay,Chăm sóc da mặt
https://shopee.vn/Kem-Ch%E1%BB%91ng-N%E1%BA%AFng-D%C6%B0%E1%BB%A1ng-Th%E1%BB%83-Tr%E1%BA%AFng-M%E1%BB%8Bn-Sunplay-Skin-Aqua-UV-Body-Whitening-Lotion-SPF50-PA-150g-i.157995825.6278578681?sp_atk=540f5e44-fe2e-4f0f-a366-e9b60ffdff22&xptdk=540f5e44-fe2e-4f0f-a366-e9b60ffdff22,Kem Chống Nắng Dưỡng Thể Trắng Mịn Sunplay Skin Aqua UV Body Whitening Lotion SPF50+/PA++++ 150g,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,209000,-5%,4.9,873,Hôm nay,TP. Hồ Chí Minh,The Ordinary,Chăm sóc da mặt
https://shopee.vn/Gel-Ch%E1%BB%91ng-N%E1%BA%AFng-D%C6%B0%E1%BB%A1ng-Da-Tr%E1%BA%AFng-M%E1%BB%8Bn-Sunplay-Skin-Aqua-Silky-White-Gel-70Gr-i.152872415.6300761424?sp_atk=17ab0e62-7ccf-42d0-aeac-9d9640d9d484&xptdk=17ab0e62-7ccf-42d0-aeac-9d9640d9d484,Gel Chống Nắng Dưỡng Da Trắng Mịn Sunplay Skin Aqua Silky White Gel 70Gr,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,160000,-20%,5.0,1000,1 - 2 ngày,TP. Hồ Chí Minh,Sunplay,Chăm sóc da mặt
https://shopee.vn/Kem-ch%E1%BB%91ng-n%E1%BA%AFng-n%C3%A2ng-t%C3%B4ng-da-t%C3%A1i-d%E1%BA%A1ng-tinh-ch%E1%BA%A5t-Sunplay-Skin-Aqua-Tone-Up-UV-Essence-RoseSPF-50-PA-50g-i.138781248.6277647436?sp_atk=536bd406-643e-45da-a655-94f571644151&xptdk=536bd406-643e-45da-a655-94f571644151,Kem chống nắng nâng tông da tái dạng tinh chất Sunplay Skin Aqua Tone Up UV Essence RoseSPF 50+PA++++50g,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,166000,-17%,4.9,13500,1 - 2 ngày,TP. Hồ Chí Minh,The Ordinary,Chăm sóc da mặt
https://shopee.vn/Kem-Ch%E1%BB%91ng-N%E1%BA%AFng-D%C6%B0%E1%BB%A1ng-Th%E1%BB%83-Tr%E1%BA%AFng-M%E1%BB%8Bn-Sunplay-Skin-Aqua-UV-Body-Whitening-Lotion-SPF50-PA-150g-i.157995825.6278578681?sp_atk=540f5e44-fe2e-4f0f-a366-e9b60ffdff22&xptdk=540f5e44-fe2e-4f0f-a366-e9b60ffdff22,Kem Chống Nắng Dưỡng Thể Trắng Mịn Sunplay Skin Aqua UV Body Whitening Lotion SPF50+/PA++++ 150g,https://down-vn.img.susercontent.com/file/vn-11134258-7ras8-m466mp4h2eu8a8,209000,-5%,4.9,873,Hôm nay,TP. Hồ Chí Minh,Sunplay,Chăm sóc da mặt
